set_name,set_code,set_release_date,set_total_cards,pack_name,card_name,card_number,card_rarity,card_type,pokemon_stage,evolves_from,ex
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Bulbasaur,023,None,Grass,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Magnemite,024,None,Lightning,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Moltres ex,025,None,Fire,Basic,N/A,Yes
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Pikachu,026,None,Lightning,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 3,Snivy,027,None,Grass,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 3,Volcarona,028,None,Fire,Stage1,Larvesta,No
Promos-A,P-A,2024-10-30,100,Vol. 3,Blastoise,029,None,Water,Stage2,Wartortle,No
Promos-A,P-A,2024-10-30,100,Vol. 3,Eevee,030,None,Colorless,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 3,Cinccino,031,None,Colorless,Stage1,Minccino,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Charmander,032,None,Fire,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Squirtle,033,None,Water,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Piplup,034,None,Water,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 4,Turtwig,035,None,Grass,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 4,Electivire,036,None,Lightning,Stage1,Electabuzz,No
Promos-A,P-A,2024-10-30,100,Vol. 4,Cresselia ex,037,None,Psychic,Basic,N/A,Yes
Promos-A,P-A,2024-10-30,100,Vol. 4,Misdreavus,038,None,Psychic,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 4,Skarmory,039,None,Metal,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Chimchar,040,None,Fire,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Togepi,041,None,Psychic,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Darkrai ex,042,None,Darkness,Basic,N/A,Yes
Promos-A,P-A,2024-10-30,100,Vol. 5,Cherrim,043,None,Grass,Stage1,Cherubi,No
Promos-A,P-A,2024-10-30,100,Vol. 5,Raichu,044,None,Lightning,Stage1,Pikachu,No
Promos-A,P-A,2024-10-30,100,Vol. 5,Nosepass,045,None,Fighting,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 5,Gible,046,None,Fighting,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 5,Staraptor,047,None,Colorless,Stage2,Staravia,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Manaphy,048,None,Water,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Snorlax,049,None,Colorless,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Mewtwo ex,050,None,Psychic,Basic,N/A,Yes
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Cyclizar,051,None,Colorless,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Sprigatito,052,None,Grass,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 6,Floatzel,053,None,Water,Stage1,Buizel,No
Promos-A,P-A,2024-10-30,100,Vol. 6,Pawmot,054,None,Lightning,Stage2,Pawmo,No
Promos-A,P-A,2024-10-30,100,Vol. 6,Machamp,055,None,Fighting,Stage2,Machoke,No
Promos-A,P-A,2024-10-30,100,Vol. 6,Ekans,056,None,Darkness,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 6,Bidoof,057,None,Colorless,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Pachirisu,058,None,Lightning,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Riolu,059,None,Fighting,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 7,Exeggcute,060,One Diamond,Grass,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 7,Froakie,061,One Diamond,Water,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 7,Farfetch'd,062,One Diamond,Colorless,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 7,Rayquaza,063,Three Diamond,Colorless,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 7,Rayquaza ex,064,Four Diamond,Colorless,Basic,N/A,Yes
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Rayquaza ex,065,Two Star,Colorless,Basic,N/A,Yes
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Mimikyu,066,One Star,Psychic,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Cosmog,067,Three Diamond,Psychic,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Lycanroc,068,Three Diamond,Fighting,Stage1,Rockruff,No
Promos-A,P-A,2024-10-30,100,Vol. 8,Alolan Exeggutor,069,Three Diamond,Grass,Stage1,Exeggcute,No
Promos-A,P-A,2024-10-30,100,Vol. 8,Alolan Ninetales,070,One Star,Water,Stage1,Alolan Vulpix,No
Promos-A,P-A,2024-10-30,100,Vol. 8,Crabrawler,071,One Diamond,Fighting,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 8,Alolan Grimer,072,One Diamond,Darkness,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,Vol. 8,Toucannon,073,One Diamond,Colorless,Stage2,Trumbeak,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Zeraora,074,One Star,Lightning,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Kartana,075,One Diamond,Grass,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Blacephalon,076,None,Fire,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Xurkitree,077,One Diamond,Lightning,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Dawn Wings Necrozma,078,Three Diamond,Psychic,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Dusk Mane Necrozma,079,Three Diamond,Metal,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Stakataka,080,One Diamond,Metal,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Ultra Necrozma ex,081,Four Diamond,Dragon,Basic,N/A,Yes
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Poipole,082,Three Diamond,Darkness,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Stufful,083,Three Diamond,Colorless,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Tapu Koko ex,084,Four Diamond,Lightning,Basic,N/A,Yes
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Vanillite,085,One Diamond,Water,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Jolteon,086,Three Diamond,Lightning,Stage1,Eevee,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Alcremie,087,One Star,Psychic,Stage1,Milcery,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Dragonair,088,One Diamond,Dragon,Stage1,Dratini,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Audino,089,One Diamond,Colorless,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Togedemaru,090,Three Diamond,Metal,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Greedent,091,Three Diamond,Colorless,Stage1,Skwovet,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Eevee,092,Three Diamond,Colorless,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Cleffa,093,One Star,Psychic,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Horsea,094,One Diamond,Water,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Chinchou,095,One Diamond,Lightning,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Houndoom,096,One Diamond,Darkness,Stage1,Houndour,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Kangaskhan,097,Three Diamond,Colorless,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Blissey ex,098,Four Diamond,Colorless,Stage1,Chansey,Yes
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Marill,099,Three Diamond,Water,Basic,N/A,No
Promos-A,P-A,2024-10-30,100,"Vol. 1, Vol. 2, Vol. 3, Vol. 4, Vol. 5, Vol. 6, Vol. 7, Vol. 8",Weavile,100,Three Diamond,Darkness,Stage1,Sneasel,No
